Test,Subtest,Subtest Condition,Item number,Item type,Item,Item Response,Item score
fMRI spoken narrative paradigm: 1st admin,NA,NA,1,NA,Albert hated war.,yes,1
fMRI spoken narrative paradigm: 1st admin,NA,NA,2,NA,"Albert was a loud, noisy child.",yes,0
fMRI spoken narrative paradigm: 1st admin,NA,NA,3,NA,"Albert's parents took him to doctors, because they were worried about him.",yes,1
fMRI spoken narrative paradigm: 1st admin,NA,NA,4,NA,Albert was fascinated by electricity.,no,0
fMRI spoken narrative paradigm: 1st admin,NA,NA,5,NA,Albert was an early talker.,no,1
fMRI spoken narrative paradigm: 1st admin,NA,NA,6,NA,Albert's dad and uncle had a farming business.,yes,0
fMRI written narrative paradigm: 1st admin,NA,NA,1,NA,Edison's family called him Al.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,2,NA,Edison's sister lived on a farm.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,3,NA,Edison was the oldest child in his family.,no,1
fMRI written narrative paradigm: 1st admin,NA,NA,4,NA,Edison lived a long life.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,5,NA,Music records were around when Edison was a child.,yes,1
fMRI written narrative paradigm: 1st admin,NA,NA,6,NA,Edison was considered the greatest inventor of his time,yes,1
fMRI slow spoken narrative paradigm,NA,NA,1,NA,The Beatles were called the Mop Tops.,yes,1
fMRI slow spoken narrative paradigm,NA,NA,2,NA,The Beatles wore suit jackets with collars.,yes,0
fMRI slow spoken narrative paradigm,NA,NA,3,NA,The Beatles were from London.,yes,0
fMRI slow spoken narrative paradigm,NA,NA,4,NA,The Beatles were popular in the US.,yes,1
fMRI slow spoken narrative paradigm,NA,NA,5,NA,The US newspapers called the Beatles the English Invasion.,yes,0
fMRI slow spoken narrative paradigm,NA,NA,6,NA,The Beatles released 13 albums.,yes,1
fMRI slow written narrative paradigm,NA,NA,1,NA,Shakespeare was only famous in English-speaking countries.,no,1
fMRI slow written narrative paradigm,NA,NA,2,NA,Shakespeare's plays have been made into movies.,yes,1
fMRI slow written narrative paradigm,NA,NA,3,NA,Shakespeare invented several words.,yes,1
fMRI slow written narrative paradigm,NA,NA,4,NA,Shakespeare's father was a carpenter.,no,1
fMRI slow written narrative paradigm,NA,NA,5,NA,Shakespeare built theaters.,yes,1
fMRI slow written narrative paradigm,NA,NA,6,NA,Much is known about Shakespeare's day-to-day life.,no,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,1,NA,Ameilia Earhart became a pilot in the 1920s.,yes,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,2,NA,Amelia Earhart was also a fashion designer.,no,0
fMRI spoken narrative paradigm: 2nd admin,NA,NA,3,NA,Amelia Earhart died at a young age.,yes,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,4,NA,Amelia Earhart's plane crashed in the Atlantic Ocean.,yes,0
fMRI spoken narrative paradigm: 2nd admin,NA,NA,5,NA,Amelia Earhart was from Iowa.,no,1
fMRI spoken narrative paradigm: 2nd admin,NA,NA,6,NA,Amelia Earhart's father had financial troubles.,no,0
WAIS,Digit Span,Forward,1,NA,NA,NA,2
WAIS,Digit Span,Forward,2,NA,NA,NA,2
WAIS,Digit Span,Forward,3,NA,NA,NA,2
WAIS,Digit Span,Forward,4,NA,NA,NA,1
WAIS,Digit Span,Forward,5,NA,NA,NA,2
WAIS,Digit Span,Forward,6,NA,NA,NA,0
WAIS,Digit Span,Backward,1,NA,NA,NA,2
WAIS,Digit Span,Backward,2,NA,NA,NA,2
WAIS,Digit Span,Backward,3,NA,NA,NA,2
WAIS,Digit Span,Backward,4,NA,NA,NA,2
WAIS,Digit Span,Backward,5,NA,NA,NA,1
WAIS,Digit Span,Backward,6,NA,NA,NA,0
WAIS,Digit Span,Sequencing,1,NA,NA,NA,2
WAIS,Digit Span,Sequencing,2,NA,NA,NA,2
WAIS,Digit Span,Sequencing,3,NA,NA,NA,2
WAIS,Digit Span,Sequencing,4,NA,NA,NA,2
WAIS,Digit Span,Sequencing,5,NA,NA,NA,2
WAIS,Digit Span,Sequencing,6,NA,NA,NA,1
WAIS,Digit Span,Sequencing,7,NA,NA,NA,0
WAIS,Letter-Number Sequencing,NA,1,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,2,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,3,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,4,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,5,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,6,NA,NA,NA,1
WAIS,Letter-Number Sequencing,NA,7,NA,NA,NA,3
WAIS,Letter-Number Sequencing,NA,8,NA,NA,NA,1
WAIS,Letter-Number Sequencing,NA,9,NA,NA,NA,0
PALPA,1,NA,1,different,NA,no,1
PALPA,1,NA,2,different,NA,no,1
PALPA,1,NA,3,same,NA,yes,1
PALPA,1,NA,4,different,NA,no,1
PALPA,1,NA,5,same,NA,yes,1
PALPA,1,NA,6,different,NA,no,1
PALPA,1,NA,7,same,NA,yes,1
PALPA,1,NA,8,same,NA,yes,1
PALPA,1,NA,9,same,NA,yes,1
PALPA,1,NA,10,same,NA,yes,1
PALPA,1,NA,11,different,NA,no,1
PALPA,1,NA,12,different,NA,no,1
PALPA,1,NA,13,same,NA,yes,1
PALPA,1,NA,14,different,NA,no,1
PALPA,1,NA,15,different,NA,no,1
PALPA,1,NA,16,same,NA,yes,1
PALPA,1,NA,17,different,NA,no,1
PALPA,1,NA,18,different,NA,no,1
PALPA,1,NA,19,same,NA,yes,1
PALPA,1,NA,20,same,NA,yes,1
PALPA,1,NA,21,same,NA,yes,1
PALPA,1,NA,22,different,NA,no,1
PALPA,1,NA,23,same,NA,yes,1
PALPA,1,NA,24,different,NA,no,1
PALPA,1,NA,25,different,NA,no,1
PALPA,1,NA,26,same,NA,yes,1
PALPA,1,NA,27,different,NA,no,1
PALPA,1,NA,28,same,NA,yes,1
PALPA,1,NA,29,same,NA,yes,1
PALPA,1,NA,30,same,NA,yes,1
PALPA,1,NA,31,different,NA,no,1
PALPA,1,NA,32,different,NA,no,1
PALPA,1,NA,33,same,NA,yes,1
PALPA,1,NA,34,same,NA,yes,1
PALPA,1,NA,35,different,NA,no,1
PALPA,1,NA,36,different,NA,no,1
PALPA,1,NA,37,different,NA,no,1
PALPA,1,NA,38,same,NA,no,0
PALPA,1,NA,39,different,NA,no,1
PALPA,1,NA,40,same,NA,yes,1
PALPA,1,NA,41,same,NA,yes,1
PALPA,1,NA,42,different,NA,no,1
PALPA,1,NA,43,different,NA,no,1
PALPA,1,NA,44,different,NA,no,1
PALPA,1,NA,45,same,NA,yes,1
PALPA,1,NA,46,different,NA,no,1
PALPA,1,NA,47,same,NA,yes,1
PALPA,1,NA,48,same,NA,yes,1
PALPA,1,NA,49,same,NA,yes,1
PALPA,1,NA,50,same,NA,yes,1
PALPA,1,NA,51,different,NA,no,1
PALPA,1,NA,52,same,NA,yes,1
PALPA,1,NA,53,different,NA,no,1
PALPA,1,NA,54,different,NA,no,1
PALPA,1,NA,55,same,NA,yes,1
PALPA,1,NA,56,different,NA,no,1
PALPA,1,NA,57,different,NA,no,1
PALPA,1,NA,58,same,NA,yes,1
PALPA,1,NA,59,different,NA,no,1
PALPA,1,NA,60,different,NA,no,1
PALPA,1,NA,61,different,NA,no,1
PALPA,1,NA,62,different,NA,no,1
PALPA,1,NA,63,same,NA,yes,1
PALPA,1,NA,64,same,NA,yes,1
PALPA,1,NA,65,same,NA,yes,1
PALPA,1,NA,66,same,NA,yes,1
PALPA,1,NA,67,different,NA,no,1
PALPA,1,NA,68,same,NA,yes,1
PALPA,1,NA,69,different,NA,no,1
PALPA,1,NA,70,same,NA,yes,1
PALPA,1,NA,71,same,NA,yes,1
PALPA,1,NA,72,different,NA,no,1
PALPA,2,NA,1,different,NA,no,1
PALPA,2,NA,2,different,NA,no,1
PALPA,2,NA,3,same,NA,yes,1
PALPA,2,NA,4,different,NA,no,1
PALPA,2,NA,5,same,NA,yes,1
PALPA,2,NA,6,different,NA,no,1
PALPA,2,NA,7,same,NA,yes,1
PALPA,2,NA,8,same,NA,yes,1
PALPA,2,NA,9,same,NA,yes,1
PALPA,2,NA,10,same,NA,yes,1
PALPA,2,NA,11,different,NA,no,1
PALPA,2,NA,12,different,NA,no,1
PALPA,2,NA,13,same,NA,yes,1
PALPA,2,NA,14,different,NA,no,1
PALPA,2,NA,15,different,NA,no,1
PALPA,2,NA,16,same,NA,yes,1
PALPA,2,NA,17,different,NA,no,1
PALPA,2,NA,18,different,NA,no,1
PALPA,2,NA,19,same,NA,yes,1
PALPA,2,NA,20,same,NA,yes,1
PALPA,2,NA,21,same,NA,no,0
PALPA,2,NA,22,different,NA,no,1
PALPA,2,NA,23,same,NA,yes,1
PALPA,2,NA,24,different,NA,no,1
PALPA,2,NA,25,different,NA,no,1
PALPA,2,NA,26,same,NA,yes,1
PALPA,2,NA,27,different,NA,no,1
PALPA,2,NA,28,same,NA,yes,1
PALPA,2,NA,29,same,NA,yes,1
PALPA,2,NA,30,same,NA,yes,1
PALPA,2,NA,31,different,NA,no,1
PALPA,2,NA,32,different,NA,no,1
PALPA,2,NA,33,same,NA,yes,1
PALPA,2,NA,34,same,NA,yes,1
PALPA,2,NA,35,different,NA,no,1
PALPA,2,NA,36,different,NA,no,1
PALPA,2,NA,37,different,NA,no,1
PALPA,2,NA,38,same,NA,yes,1
PALPA,2,NA,39,different,NA,no,1
PALPA,2,NA,40,same,NA,yes,1
PALPA,2,NA,41,same,NA,no,0
PALPA,2,NA,42,different,NA,no,1
PALPA,2,NA,43,different,NA,no,1
PALPA,2,NA,44,different,NA,no,1
PALPA,2,NA,45,same,NA,yes,1
PALPA,2,NA,46,different,NA,no,1
PALPA,2,NA,47,same,NA,yes,1
PALPA,2,NA,48,same,NA,yes,1
PALPA,2,NA,49,same,NA,yes,1
PALPA,2,NA,50,same,NA,yes,1
PALPA,2,NA,51,different,NA,no,1
PALPA,2,NA,52,same,NA,yes,1
PALPA,2,NA,53,different,NA,no,1
PALPA,2,NA,54,different,NA,no,1
PALPA,2,NA,55,same,NA,yes,1
PALPA,2,NA,56,different,NA,no,1
PALPA,2,NA,57,different,NA,no,1
PALPA,2,NA,58,same,NA,yes,1
PALPA,2,NA,59,different,NA,no,1
PALPA,2,NA,60,different,NA,no,1
PALPA,2,NA,61,different,NA,no,1
PALPA,2,NA,62,different,NA,no,1
PALPA,2,NA,63,same,NA,no,0
PALPA,2,NA,64,same,NA,yes,1
PALPA,2,NA,65,same,NA,yes,1
PALPA,2,NA,66,same,NA,yes,1
PALPA,2,NA,67,different,NA,no,1
PALPA,2,NA,68,same,NA,no,0
PALPA,2,NA,69,different,NA,no,1
PALPA,2,NA,70,same,NA,yes,1
PALPA,2,NA,71,same,NA,yes,1
PALPA,2,NA,72,different,NA,no,1
PALPA,5,NA,1,LILF,NA,no,0
PALPA,5,NA,2,LIHF,NA,yes,1
PALPA,5,NA,3,HILF,NA,no,0
PALPA,5,NA,4,NW,NA,no,1
PALPA,5,NA,5,HIHF,NA,yes,1
PALPA,5,NA,6,HILF,NA,yes,1
PALPA,5,NA,7,NW,NA,no,1
PALPA,5,NA,8,NW,NA,no,1
PALPA,5,NA,9,HIHF,NA,yes,1
PALPA,5,NA,10,NW,NA,no,1
PALPA,5,NA,11,NW,NA,no,1
PALPA,5,NA,12,LILF,NA,yes,1
PALPA,5,NA,13,NW,NA,no,1
PALPA,5,NA,14,NW,NA,no,1
PALPA,5,NA,15,LILF,NA,yes,1
PALPA,5,NA,16,NW,NA,no,1
PALPA,5,NA,17,NW,NA,no,1
PALPA,5,NA,18,LILF,NA,yes,1
PALPA,5,NA,19,NW,NA,no,1
PALPA,5,NA,20,NW,NA,no,1
PALPA,5,NA,21,NW,NA,no,1
PALPA,5,NA,22,NW,NA,no,1
PALPA,5,NA,23,LIHF,NA,no,0
PALPA,5,NA,24,NW,NA,no,1
PALPA,5,NA,25,HIHF,NA,yes,1
PALPA,5,NA,26,LILF,NA,yes,1
PALPA,5,NA,27,LIHF,NA,yes,1
PALPA,5,NA,28,HILF,NA,yes,1
PALPA,5,NA,29,HIHF,NA,yes,1
PALPA,5,NA,30,LILF,NA,yes,1
PALPA,5,NA,31,HILF,NA,yes,1
PALPA,5,NA,32,NW,NA,no,1
PALPA,5,NA,33,LILF,NA,yes,1
PALPA,5,NA,34,NW,NA,no,1
PALPA,5,NA,35,NW,NA,no,1
PALPA,5,NA,36,LIHF,NA,yes,1
PALPA,5,NA,37,NW,NA,no,1
PALPA,5,NA,38,HILF,NA,no,0
PALPA,5,NA,39,NW,NA,no,1
PALPA,5,NA,40,NW,NA,no,1
PALPA,5,NA,41,HIHF,NA,yes,1
PALPA,5,NA,42,NW,NA,no,1
PALPA,5,NA,43,NW,NA,no,1
PALPA,5,NA,44,NW,NA,no,1
PALPA,5,NA,45,LIHF,NA,yes,1
PALPA,5,NA,46,LILF,NA,yes,1
PALPA,5,NA,47,HIHF,NA,yes,1
PALPA,5,NA,48,NW,NA,no,1
PALPA,5,NA,49,HILF,NA,yes,1
PALPA,5,NA,50,NW,NA,no,1
PALPA,5,NA,51,HILF,NA,yes,1
PALPA,5,NA,52,NW,NA,no,1
PALPA,5,NA,53,NW,NA,no,1
PALPA,5,NA,54,LIHF,NA,yes,1
PALPA,5,NA,55,LIHF,NA,yes,1
PALPA,5,NA,56,HIHF,NA,yes,1
PALPA,5,NA,57,NW,NA,no,1
PALPA,5,NA,58,LIHF,NA,yes,1
PALPA,5,NA,59,HILF,NA,yes,1
PALPA,5,NA,60,NW,NA,no,1
PALPA,5,NA,61,NW,NA,no,1
PALPA,5,NA,62,HIlF,NA,yes,1
PALPA,5,NA,63,NW,NA,yes,0
PALPA,5,NA,64,NW,NA,no,1
PALPA,5,NA,65,LIHF,NA,yes,1
PALPA,5,NA,66,NW,NA,no,1
PALPA,5,NA,67,NW,NA,no,1
PALPA,5,NA,68,HIHF,NA,yes,1
PALPA,5,NA,69,NW,NA,no,1
PALPA,5,NA,70,NW,NA,no,1
PALPA,5,NA,71,HIHF,NA,yes,1
PALPA,5,NA,72,NW,NA,no,1
PALPA,5,NA,73,LIHF,NA,yes,1
PALPA,5,NA,74,LILF,NA,yes,1
PALPA,5,NA,75,NW,NA,yes,0
PALPA,5,NA,76,NW,NA,no,1
PALPA,5,NA,77,NW,NA,no,1
PALPA,5,NA,78,HIHF,NA,yes,1
PALPA,5,NA,79,HILF,NA,yes,1
PALPA,5,NA,80,LILF,NA,yes,1
PALPA,5,NA,81,NW,NA,no,1
PALPA,5,NA,82,HIHF,NA,yes,1
PALPA,5,NA,83,LILF,NA,yes,1
PALPA,5,NA,84,LIHF,NA,yes,1
PALPA,5,NA,85,HIlF,NA,no,0
PALPA,5,NA,86,NW,NA,no,1
PALPA,5,NA,87,LIHF,NA,yes,1
PALPA,5,NA,88,HIHF,NA,yes,1
PALPA,5,NA,89,LIlF,NA,yes,1
PALPA,5,NA,90,NW,NA,no,1
PALPA,5,NA,91,LIHF,NA,yes,1
PALPA,5,NA,92,NW,NA,yes,0
PALPA,5,NA,93,LIlF,NA,no,0
PALPA,5,NA,94,LIHF,NA,yes,1
PALPA,5,NA,95,NW,NA,no,1
PALPA,5,NA,96,HILF,NA,yes,1
PALPA,5,NA,97,HIlF,NA,yes,1
PALPA,5,NA,98,NW,NA,no,1
PALPA,5,NA,99,NW,NA,no,1
PALPA,5,NA,100,HILF,NA,yes,1
PALPA,5,NA,101,LIHF,NA,yes,1
PALPA,5,NA,102,LILF,NA,yes,1
PALPA,5,NA,103,NW,NA,no,1
PALPA,5,NA,104,HiLF,NA,yes,1
PALPA,5,NA,105,NW,NA,no,1
PALPA,5,NA,106,LIHF,NA,yes,1
PALPA,5,NA,107,NW,NA,no,1
PALPA,5,NA,108,NW,NA,no,1
PALPA,5,NA,109,LILF,NA,yes,1
PALPA,5,NA,110,NW,NA,no,1
PALPA,5,NA,111,HIlF,NA,yes,1
PALPA,5,NA,112,LIHF,NA,yes,1
PALPA,5,NA,113,NW,NA,no,1
PALPA,5,NA,114,NW,NA,no,1
PALPA,5,NA,115,LILF,NA,yes,1
PALPA,5,NA,116,HIHF,NA,yes,1
PALPA,5,NA,117,LILF,NA,yes,1
PALPA,5,NA,118,NW,NA,no,1
PALPA,5,NA,119,HILF,NA,yes,1
PALPA,5,NA,120,HILF,NA,yes,1
PALPA,5,NA,121,NW,NA,no,1
PALPA,5,NA,122,NW,NA,no,1
PALPA,5,NA,123,NW,NA,no,1
PALPA,5,NA,124,NW,NA,no,1
PALPA,5,NA,125,LILF,NA,yes,1
PALPA,5,NA,126,HIHF,NA,yes,1
PALPA,5,NA,127,NW,NA,no,1
PALPA,5,NA,128,NW,NA,yes,0
PALPA,5,NA,129,NW,NA,no,1
PALPA,5,NA,130,NW,NA,no,1
PALPA,5,NA,131,NW,NA,no,1
PALPA,5,NA,132,HIHF,NA,yes,1
PALPA,5,NA,133,NW,NA,no,1
PALPA,5,NA,134,LIHF,NA,yes,1
PALPA,5,NA,135,NW,NA,no,1
PALPA,5,NA,136,NW,NA,no,1
PALPA,5,NA,137,LILF,NA,yes,1
PALPA,5,NA,138,HIHF,NA,yes,1
PALPA,5,NA,139,NW,NA,no,1
PALPA,5,NA,140,HILF,NA,yes,0
PALPA,5,NA,141,NW,NA,no,1
PALPA,5,NA,142,NW,NA,no,1
PALPA,5,NA,143,LIHF,NA,yes,1
PALPA,5,NA,144,NW,NA,no,1
PALPA,5,NA,145,NW,NA,no,1
PALPA,5,NA,146,NW,NA,no,1
PALPA,5,NA,147,HIHF,NA,yes,1
PALPA,5,NA,148,HIHF,NA,yes,1
PALPA,5,NA,149,LIHF,NA,yes,1
PALPA,5,NA,150,NW,NA,no,1
PALPA,5,NA,151,NW,NA,no,1
PALPA,5,NA,152,HIHF,NA,yes,1
PALPA,5,NA,153,NW,NA,no,1
PALPA,5,NA,154,NW,NA,no,1
PALPA,5,NA,155,HILF,NA,yes,1
PALPA,5,NA,156,NW,NA,no,1
PALPA,5,NA,157,LILF,NA,yes,1
PALPA,5,NA,158,HIHF,NA,yes,1
PALPA,5,NA,159,NW,NA,no,1
PALPA,5,NA,160,NW,NA,yes,0
PALPA,35,Regular,1,NA,NA,correct,1
PALPA,35,Regular,2,NA,NA,correct,1
PALPA,35,Regular,3,NA,NA,correct,1
PALPA,35,Regular,4,NA,NA,correct,1
PALPA,35,Regular,5,NA,NA,correct,1
PALPA,35,Regular,6,NA,NA,correct,1
PALPA,35,Regular,7,NA,NA,correct,1
PALPA,35,Regular,8,NA,NA,correct,1
PALPA,35,Regular,9,NA,NA,correct,1
PALPA,35,Regular,10,NA,NA,correct,1
PALPA,35,Regular,11,NA,NA,correct,1
PALPA,35,Regular,12,NA,NA,correct,1
PALPA,35,Regular,13,NA,NA,correct,1
PALPA,35,Regular,14,NA,NA,correct,1
PALPA,35,Regular,15,NA,NA,correct,1
PALPA,35,Regular,16,NA,NA,correct,1
PALPA,35,Regular,17,NA,NA,correct,1
PALPA,35,Regular,18,NA,NA,correct,1
PALPA,35,Regular,19,NA,NA,correct,1
PALPA,35,Regular,20,NA,NA,correct,1
PALPA,35,Regular,21,NA,NA,correct,1
PALPA,35,Regular,22,NA,NA,correct,1
PALPA,35,Regular,23,NA,NA,correct,1
PALPA,35,Regular,24,NA,NA,correct,1
PALPA,35,Regular,25,NA,NA,correct,1
PALPA,35,Regular,26,NA,NA,correct,1
PALPA,35,Regular,27,NA,NA,correct,1
PALPA,35,Regular,28,NA,NA,correct,1
PALPA,35,Regular,29,NA,NA,correct,1
PALPA,35,Regular,30,NA,NA,correct,1
PALPA,35,Exception,1,NA,NA,correct,1
PALPA,35,Exception,2,NA,NA,correct,1
PALPA,35,Exception,3,NA,NA,correct,1
PALPA,35,Exception,4,NA,NA,correct,1
PALPA,35,Exception,5,NA,NA,correct,1
PALPA,35,Exception,6,NA,NA,prɛti,0
PALPA,35,Exception,7,NA,NA,correct,1
PALPA,35,Exception,8,NA,NA,correct,1
PALPA,35,Exception,9,NA,NA,correct,1
PALPA,35,Exception,10,NA,NA,correct,1
PALPA,35,Exception,11,NA,NA,correct,1
PALPA,35,Exception,12,NA,NA,correct,1
PALPA,35,Exception,13,NA,NA,correct,1
PALPA,35,Exception,14,NA,NA,correct,1
PALPA,35,Exception,15,NA,NA,ʃo [self-corrected with a semantic cue],0
PALPA,35,Exception,16,NA,NA,correct,1
PALPA,35,Exception,17,NA,NA,correct,1
PALPA,35,Exception,18,NA,NA,tɑm,0
PALPA,35,Exception,19,NA,NA,correct,1
PALPA,35,Exception,20,NA,NA,correct,1
PALPA,35,Exception,21,NA,NA,correct,1
PALPA,35,Exception,22,NA,NA,correct,1
PALPA,35,Exception,23,NA,NA,correct,1
PALPA,35,Exception,24,NA,NA,bəri,0
PALPA,35,Exception,25,NA,NA,sɪw [self-corrected with a semantic cue],0
PALPA,35,Exception,26,NA,NA,correct,1
PALPA,35,Exception,27,NA,NA,correct,1
PALPA,35,Exception,28,NA,NA,correct,1
PALPA,35,Exception,29,NA,NA,brutʃ [self-corrected with a semantic cue],0
PALPA,35,Exception,30,NA,NA,correct,1
PALPA,36,3-letter,1,NA,NA,correct,1
PALPA,36,3-letter,2,NA,NA,correct,1
PALPA,36,3-letter,3,NA,NA,correct,1
PALPA,36,3-letter,4,NA,NA,correct,1
PALPA,36,3-letter,5,NA,NA,correct,1
PALPA,36,3-letter,6,NA,NA,correct,1
PALPA,36,4-letter,1,NA,NA,correct,1
PALPA,36,4-letter,2,NA,NA,correct,1
PALPA,36,4-letter,3,NA,NA,correct,1
PALPA,36,4-letter,4,NA,NA,correct,1
PALPA,36,4-letter,5,NA,NA,correct,1
PALPA,36,4-letter,6,NA,NA,correct,1
PALPA,36,5-letter,1,NA,NA,correct,1
PALPA,36,5-letter,2,NA,NA,correct,1
PALPA,36,5-letter,3,NA,NA,correct,1
PALPA,36,5-letter,4,NA,NA,correct,1
PALPA,36,5-letter,5,NA,NA,correct,1
PALPA,36,5-letter,6,NA,NA,correct,1
PALPA,36,6-letter,1,NA,NA,correct,1
PALPA,36,6-letter,2,NA,NA,correct,1
PALPA,36,6-letter,3,NA,NA,correct,1
PALPA,36,6-letter,4,NA,NA,correct,1
PALPA,36,6-letter,5,NA,NA,correct,1
PALPA,36,6-letter,6,NA,NA,correct,1
PALPA,44,Regular,1,NA,NA,correct,1
PALPA,44,Regular,2,NA,NA,correct,1
PALPA,44,Regular,3,NA,NA,correct,1
PALPA,44,Regular,4,NA,NA,correct,1
PALPA,44,Regular,5,NA,NA,correct,1
PALPA,44,Regular,6,NA,NA,correct,1
PALPA,44,Regular,7,NA,NA,correct,1
PALPA,44,Regular,8,NA,NA,correct,1
PALPA,44,Regular,9,NA,NA,correct,1
PALPA,44,Regular,10,NA,NA,correct,1
PALPA,44,Regular,11,NA,NA,correct,1
PALPA,44,Regular,12,NA,NA,kinow [self-corrected with a semantic cue],0
PALPA,44,Regular,13,NA,NA,correct,1
PALPA,44,Regular,14,NA,NA,correct,1
PALPA,44,Regular,15,NA,NA,correct,1
PALPA,44,Regular,16,NA,NA,correct,1
PALPA,44,Regular,17,NA,NA,correct,1
PALPA,44,Regular,18,NA,NA,correct,1
PALPA,44,Regular,19,NA,NA,correct,1
PALPA,44,Regular,20,NA,NA,no response,0
